num,ID,address1,address2,lat,lon
31,74DA3895C454,臺中市高美國小,"(24.31168,120.56261)",24.312,120.561
33,74DA3895C2F2,臨港三美路口,"(24.299,120.577)",24.299,120.577
2,74DA3895C4EE,台中市三田國小,臺中市清水區田寮里三田路四號,24.29,120.581
4,74DA3895C4F6,台中市大秀國小,臺中市清水區五權路336號,24.279,120.556
30,74DA38AF4774,The air quality for Minyou Rd,"24.279°N,120.565°E",24.279,120.565
3,74DA3895C4FC,台中市西寧國小,臺中市清水區西寧里五權東路50號,24.276,120.574
23,74DA3895C396,taichung 34,"24.266°N,120.566°E",24.266,120.566
6,74DA3895C4A6,台中市清水國小,臺中市清水區光華路125號,24.266,120.573
35,74DA38C7CED4,taichung135-_街,"(24.267,120.578)",24.267,120.578
9,74DA3895C25C,台中市中正國小,臺中市梧棲區福德里中央路2段15號,24.25,120.538
5,74DA3895C262,台中市_榔國小,臺中市清水區中央路23-12號,24.25,120.555
7,74DA3895C25A,台中市鹿峰國小,臺中市沙鹿區鹿峰里星河路209號,24.25,120.559
25,74DA3895C3C2,taichung80,"24.242°N,120.567°E",24.242,120.567
10,74DA3895C240,台中市大德國小,臺中市梧棲區大村里文昌路343號,24.243,120.542
16,74DA3895C24A,台中市中港國小,臺中市梧棲區大村里文明街100號,24.239,120.554
26,74DA3895C324,taichung104,"24.226°N,120.582°E",24.226,120.582
8,74DA3895C248,台中市梧棲國小,臺中市梧棲區民生街45號,24.235,120.535
11,74DA3895C246,台中市永寧國小,臺中市梧棲區中央路一段160號,24.229,120.532
12,74DA3895C4C8,台中市龍海國小,臺中市龍井區忠和里中央路三段206號,24.216,120.526
15,74DA3895C500,台中市龍山國小,臺中市龍井區山腳里中山一路一段六號,24.213,120.55
24,74DA3895C2BA,taichung70,"24.215°N,120.564°E",24.215,120.564
40,74DA38B05240,airsong,"(24.204,120.561)",24.204,120.561
13,74DA3895C2A6,台中市龍津國小,臺中市龍井區龍津里中央路一段165巷50號,24.201,120.522
14,74DA3895C374,台中市龍泉國小,臺中市龍井區龍泉里龍新路162號,24.196,120.547
28,74DA3895E0DE,taichung111,"24.194°N,120.547°E",24.194,120.547
22,74DA3895E0E0,taichung14,"24.195°N,120.56°E",24.195,120.56
19,74DA3895C568,台中市山陽國小,臺中市大肚區山陽里榮華街630號,24.163,120.544
21,74DA3895C5C6,臺中市瑞峰國小,"(24.17067,120.5746)",24.168,120.574
20,74DA3895C532,瑞井國小,"(24.181,120.574)",24.159,120.567
18,74DA3895C53C,台中市大肚國小,臺中市大肚區華山路七七號,24.154,120.546
44,74DA3895C3F0,SilverStar02,"(24.126,120.512)",24.126,120.512
45,74DA38AF4894,彰化-RETH瑋豪企業,"(24.119,120.522)",24.119,120.522
43,74DA3895C4CE,SliverStar03,"(24.113,120.503)",24.113,120.503
